date,temperature,above_90th,heatwave
1980-03-22,22.547204589843773,False,False
1980-03-23,24.512231445312523,False,False
1980-03-24,23.885064697265648,False,False
1980-03-25,24.072045898437523,False,False
1980-03-26,26.074884033203148,False,False
1980-03-27,27.441522216796898,False,False
1980-03-28,26.794274902343773,False,False
1980-03-29,26.971704101562523,False,False
1980-03-30,24.074670410156273,False,False
1980-03-31,24.088952636718773,False,False
1980-04-01,25.729394531250023,False,False
1980-04-02,25.095391845703148,False,False
1980-04-03,24.839135742187523,False,False
1980-04-04,25.520349121093773,False,False
1980-04-05,27.350335693359398,False,False
1980-04-06,27.060418701171898,False,False
1980-04-07,25.836877441406273,False,False
1980-04-08,23.389276123046898,False,False
1980-04-09,23.661218261718773,False,False
1980-04-10,20.180871582031273,False,False
1980-04-11,19.567529296875023,False,False
1980-04-12,19.764611816406273,False,False
1980-04-13,19.994042968750023,False,False
1980-04-14,24.434594726562523,False,False
1980-04-15,25.953454589843773,False,False
1980-04-16,26.604455566406273,False,False
1980-04-17,20.691979980468773,False,False
1980-04-18,19.118859863281273,False,False
1980-04-19,22.469720458984398,False,False
1980-04-20,20.438623046875023,False,False
1980-04-21,22.881158447265648,False,False
1980-04-22,25.989526367187523,False,False
1980-04-23,23.503991699218773,False,False
1980-04-24,23.994104003906273,False,False
1980-04-25,22.343347167968773,False,False
1980-04-26,21.452752685546898,False,False
1980-04-27,21.664849853515648,False,False
1980-04-28,21.755029296875023,False,False
1980-04-29,22.656823730468773,False,False
1980-04-30,24.576135253906273,False,False
1980-05-01,24.015893554687523,False,False
1980-05-02,25.428796386718773,False,False
1980-05-03,24.775598144531273,False,False
1980-05-04,24.998040771484398,False,False
1980-05-05,25.998071289062523,False,False
1980-05-06,25.274163818359398,False,False
1980-05-07,18.287316894531273,False,False
1980-05-08,15.120446777343773,False,False
1980-05-09,17.308038330078148,False,False
1980-05-10,19.431237792968773,False,False
1980-05-11,21.883752441406273,False,False
1980-05-12,23.489038085937523,False,False
1980-05-13,24.003869628906273,False,False
1980-05-14,24.932580566406273,False,False
1980-05-15,23.430535888671898,False,False
1980-05-16,24.321130371093773,False,False
1980-05-17,24.378625488281273,False,False
1980-05-18,23.808282470703148,False,False
1980-05-19,22.067712402343773,False,False
1980-05-20,19.923272705078148,False,False
1980-05-21,19.673883056640648,False,False
1980-05-22,19.939324951171898,False,False
1980-05-23,19.811761474609398,False,False
1980-05-24,19.630181884765648,False,False
1980-05-25,18.397729492187523,False,False
